,Fecha Salida,A̱o,Hora Salida,Causa Regulatoria,Numero de salidas,r_inf,r_sup
57,2018-04-25 02:47:00,2018,02:47:00,Recierre,1,45,50
58,2018-04-26 21:01:00,2018,21:01:00,Recierre,1,60,65
59,2018-08-29 21:58:00,2018,21:58:00,Recierre,1,45,50
60,2018-10-09 00:02:00,2018,00:02:00,Recierre,1,45,50
61,2018-10-09 00:10:00,2018,00:10:00,Recierre,1,85,90
62,2018-10-28 01:56:00,2018,01:56:00,Recierre,1,90,95
63,2018-11-19 03:44:00,2018,03:44:00,Recierre,1,50,55
64,2019-06-15 01:03:00,2019,01:03:00,Recierre,1,5,10
65,2019-10-14 02:02:00,2019,02:02:00,Recierre,1,55,60
66,2019-11-05 06:29:00,2019,06:29:00,Recierre,1,0,5
67,2019-11-11 02:18:00,2019,02:18:00,Recierre,1,80,85
68,2019-11-15 02:49:00,2019,02:49:00,Recierre,1,30,35
